駕 멍에 가-
佚 편안 일, 질탕 질
剩 남을 잉:
孕 아이밸 잉:
疵 허물 자
仔 자세할 자
蔗 사탕수수 자
炙 구울 자, 구울 적
煮 삶을 자-
藉 깔/핑계할 자:
瓷 사기그릇 자
炸 터질 작
勺 구기 작
灼 불사를 작
綽 너그러울 작
嚼 씹을 작
芍 함박꽃 작
雀 참새 작
鵲 까치 작
盞 잔 잔
棧 사다리 잔
箴 경계 잠
簪 비녀 잠
檣 돛대 장
薔 장미 장
漿 즙 장
醬 장 장:
杖 지팡이 장-
匠 장인 장
仗 의장 장
齋 재계할/집 재
滓 찌끼 재
錚 쇳소리 쟁
狙 원숭이/엿볼 저:
豬 돼지 저
箸 젓가락 저
咀 씹을 저:
詛 저주할 저:
躇 머뭇거릴 저
邸 집 저:
觝 씨름 저:
嫡 정실 적
謫 귀양갈 적
狄 오랑캐 적
迹 자취 적
塡 메울 전
箋 기록할 전
餞 보낼 전:
顫 떨 전:
顚 엎드러질/이마 전:
銓 사람가릴 전-
輾 돌아누울 전:
纏 얽을 전
栓 마개 전
箭 살 전:
廛 가게 전:
癲 미칠 전:
煎 달일 전-
澱 앙금 전:
剪 가위 전-
氈 담 전:
悛 고칠 전:
篆 전자 전:
奠 정할/제사 전:
截 끊을 절
霑 젖을 점
粘 붙을 점
錠 덩이 정
挺 빼어날 정
町 밭두둑 정
睛 눈동자 정
碇 닻 정
穽 함정 정
釘 못 정
靖 편안할 정-
幀 그림족자 정
酊 술취할 정
啼 울 제
梯 사다리 제
悌 공손할 제:
蹄 굽 제
詔 조서 조:
藻 마름[菱] 조:
躁 조급할 조
阻 막힐 조
凋 시들 조
嘲 비웃을 조
曹 무리 조
棗 대추 조
粗 거칠 조
肇 비롯할 조':
遭 만날 조
槽 구유 조
繰 고치켤 조
糟 지게미 조
稠 빽빽할 조
漕 배로실어나를 조
爪 손톱 조
眺 볼 조:
簇 가는대 족
猝 갑자기 졸
踵 발꿈치 종
慫 권할 종
腫 종기 종:
踪 자취 종
挫 꺾을 좌:
躊 머뭇거릴 주:
輳 몰려들 주
誅 벨 주
做 지을 주
胄 자손 주
呪 빌 주:
嗾 부추길 주
廚 부엌 주
紂 주임금/껑거리끈 주
紬 명주 주
註 글뜻풀 주:
竣 마칠 준:
樽 술통 준
蠢 꾸물거릴 준:
櫛 빗 즐
葺 기울 즙
汁 즙 즙
咫 여덟치 지
摯 잡을 지
枳 탱자 지, 탱자 기
祉 복 지
肢 팔다리 지
嗔 성낼 진
疹 마마 진
帙 책권차례 질
桎 차꼬 질
膣 음도 질
叱 꾸짖을 질
跌 거꾸러질 질
迭 갈마들 질
嫉 미워할 질
朕 나 짐:
斟 짐작할 짐
澄 맑을 징
叉 갈래 차 
嗟 탄식할 차:
蹉 미끄러질 차
搾 짤 착
窄 좁을 착
鑿 뚫을 착
撰 지을 찬:
纂 모을 찬:
饌 반찬 찬:
篡 빼앗을 찬
擦 문지를 찰
塹 구덩이 참
站 역마을 참-
僭 주제넘을 참:
懺 뉘우칠 참
讒 참소할 참
讖 예언 참
槍 창 창
脹 부을 창:
娼 창녀 창-
猖 미쳐날뛸 창
廠 공장 창
瘡 부스럼 창
倡 광대 창:
艙 부두 창
菖 창포 창
愴 슬플 창:
漲 넘칠 창:
寨 목책 채
柵 울타리 책
凄 쓸쓸할 처
瘠 여윌 척
滌 씻을 척
脊 등마루 척
擲 던질 척
闡 밝힐 천:
穿 뚫을 천:
擅 멋대로할 천:
喘 숨찰 천: 
轍 바퀴자국 철
綴 엮을 철
凸 볼록할 철 
籤 제비(점대) 첨
僉 다/여러 첨
諂 아첨할 첨:
帖 문서 첩
貼 붙일 첩
疊 거듭 첩
牒 편지 첩
捷 빠를 첩
涕 눈물 체
諦 살필 체
貂 담비 초
礁 암초 초
硝 화약 초
憔 파리할 초
醋 초 초
蕉 파초 초
樵 나무할 초
梢 나무끝 초
稍 점점 초
炒 볶을 초
囑 부탁할 촉
忖 헤아릴 촌:
叢 떨기/모일 총
塚 무덤 총
寵 사랑할 총: 
撮 모을/사진찍을 촬
槌 칠 추 / 방망이 퇴
樞 지도리 추
芻 꼴 추
墜 떨어질 추
鰍 미꾸라지 추
鎚 쇠망치 추
酋 우두머리 추
錐 송곳 추
錘 저울추 추
椎 쇠몽치/등골 추
黜 내칠 출
贅 혹 췌:
悴 파리할 췌:
膵 췌장 췌:
萃 모을 췌:
娶 장가들 취:
翠 푸를/물총새 취:
脆 연할 취:
惻 슬플 측
幟 기[旗] 치
嗤 비웃을 치
痔 치질 치
侈 사치할 치
熾 성할 치
癡 어리석을 치 
緻 빽빽할 치
馳 달릴 치
勅 칙서 칙
鍼 침 침
砧 다듬잇돌 침:
蟄 숨을 칩
秤 저울 칭
駝 낙타 타
楕 길고둥글 타:
惰 게으를 타:
唾 침 타:
陀 비탈질/부처 타
舵 키 타
擢 뽑을 탁
鐸 방울 탁
呑 삼킬 탄
坦 평탄할 탄:
憚 꺼릴 탄
綻 터질 탄:
眈 노려볼 탐
搭 탈 탑
宕 호탕할 탕:
蕩 방탕할 탕:
笞 볼기칠 태
苔 이끼 태
跆 밟을 태
汰 일 태
撐 버틸 탱 
攄 펼 터:
慟 서러워할 통:
桶 통 통
筒 통 통
頹 무너질 퇴
堆 쌓을 퇴:
褪 바랠 퇴:
腿 넓적다리 퇴:
套 씌울 투
妬 샘낼 투
慝 사특할 특
巴 꼬리/뱀 파
爬 긁을 파
琶 비파 파
芭 파초 파
跛 절름발이 파, 비스듬히설 피-
婆 할미 파, 음역자 바
辦 힘들일 판
沛 비쏟아질 패:
牌 패 패
悖 거스를 패:
唄 염불소리 패:
佩 찰[帶] 패
稗 피 패:
膨 불을 팽
澎 물소리 팽
愎 강퍅할 퍅
鞭 채찍 편
騙 속일 편
貶 낮출 폄:
萍 부평초 평
斃 죽을 폐:
陛 대궐섬돌 폐:
疱 물집 포:
庖 부엌 포
逋 도망갈 포
褒 기릴 포
袍 도포 포
匍 길 포
脯 포 포
泡 거품 포
圃 채마밭 포
哺 먹일 포:
咆 고함지를 포
蒲 부들 포
曝 쪼일 폭 / 포
瀑 폭포 폭, 소나기 포
豹 표범 표
慓 급할 표
飄 나부낄 표
剽 겁박할 표
稟 여쭐 품:
諷 풍자할 풍
披 헤칠 피
疋 필 필
逼 핍박할 핍
乏 모자랄 핍
霞 노을 하
遐 멀 하
蝦 두꺼비/새우 하
瑕 허물 하
壑 구렁 학
謔 희롱할 학
瘧 학질 학
罕 드물 한: 
悍 사나울 한:
澣 빨래할/열흘 한
轄 다스릴 할
緘 봉할 함
