Hanja	Reading(s)	Meaning(s)	Grade
椀	완	주발	0
梡	완, 관, 환	도마, 도마, 문지를	0
娃	왜, 와	예쁠, 예쁠	0
嵬	외	높을	0
蟯	요	요충	0
繞	요	두를	0
繇	요, 유, 주	역사, 말미암을, 점사	0
瑤	요	아름다운 옥	0
燿	요, 삭	빛날, 녹일	0
橈	요(뇨), 요(뇨)	굽을, 노	0
嶢	요	높을	0
褥	욕	요	0
縟	욕	꾸밀	0
甬	용, 동	길, 대롱	0
湧	용	물 솟을	0
榕	용	벵골보리수	0
慂	용	권할	0
墉	용	담	0
埇	용	길 돋울	0
冗	용	쓸데없을	0
俑	용	목우	0
雩	우	기우제	0
釪	우	창고달	0
藕	우	연뿌리	0
芋	우, 후	토란, 클	0
紆	우	굽을	0
禑	우	복	0
盂	우	사발	0
瑀	우	패옥	0
玗	우	옥돌	0
旴	우	클	0
稶	욱	서직 무성할	0
栯	욱, 유	산앵두, 나무 이름	0
彧	욱	문채	0
勖	욱	힘쓸	0
蕓	운	평지	0
熉	운	노란 모양	0
澐	운	큰 물결	0
橒	운	나무 무늬	0
亐	울, 우	땅 이름, 어조사	0
轅	원	끌채	0
爰	원	이에	0
湲	원	흐를	0
洹	원, 환	물 이름, 세차게 흐를	0
沅	원	강 이름	0
愿	원	원할	0
寃	원	원통할	0
嫄	원	사람 이름	0
垣	원	담	0
鉞	월	도끼	0
暐	위	햇빛	0
褘	위, 휘	아름다울, 폐슬	0
蝟	위	고슴도치	0
蔿	위	애기풀	0
葦	위	갈대	0
瑋	위	옥	0
侑	유	권할	0
釉	유	광택	0
逾	유, 투	넘을, 구차스러울	0
萸	유	수유	0
臾	유, 용	잠깐, 권할	0
瑜	유	아름다운 옥	0
猷	유	꾀	0
濡	유, 여, 연, 이, 난	적실, 편안할, 유약할, 삶을, 머리 감을	0
洧	유	강 이름	0
楢	유	졸참나무	0
攸	유	바	0
孺	유	젖먹이	0
毓	육	기를	0
堉	육	기름진 땅	0
贇	윤, 빈	예쁠, 예쁠	0
玧	윤, 문	귀막이 구슬, 붉은 구슬	0
奫	윤	물 깊고 넓을	0
聿	율	붓	0
瀜	융	물 깊고 넓은 모양	0
慇	은	괴로워할	0
蟻	의	개미	0
薏	의, 억	율무, 율무	0
艤	의, 차	배 댈, 거룻배	0
懿	의	아름다울	0
倚	의, 기	의지할, 기이할	0
彛	이	떳떳할	0
飴	이, 사	엿, 먹일	0
邇	이	가까울	0
貽	이	끼칠	0
荑	이, 제	벨, 띠 싹	0
苡	이	질경이	0
肄	이	익힐	0
謚	익, 시	웃을, 시호	0
瀷	익	강 이름	0
靷	인	가슴걸이	0
茵	인	자리	0
絪	인	기운	0
馹	일	역말	0
荏	임	들깨	0
稔	임	여물	0
恁	임, 님(임)	생각할, 너	0
姙	임	아이 밸	0
卄	입	스물	0
芿	잉	새 풀싹	0
仍	잉	인할	0
茨	자	지붕 일	0
孜	자	힘쓸	0
咨	자	물을	0
斫	작	벨	0
潺	잔	졸졸 흐를	0
孱	잔	잔약할	0
岑	잠, 음	봉우리, 산세가 험준한 모양	0
贓	장	장물	0
臧	장	착할	0
牆	장	담	0
欌	장	장롱	0
樟	장	녹나무	0
暲	장	밝을	0
齎	재, 자	가져올, 탄식할	0
縡	재	일	0
渽	재	맑을	0
梓	재, 자	가래나무, 가래나무	0
諍	쟁	간할	0
箏	쟁	쟁	0
齟	저, 차	어긋날, 이 바르지 못할	0
雎	저	물수리	0
這	저	이	0
藷	저, 서	감자, 감자	0
菹	저, 자	김치, 늪	0
苧	저	모시풀	0
紵	저	모시	0
疽	저	등창	0
猪	저, 차	돼지, 암퇘지	0
渚	저	물가	0
樗	저	가죽나무	0
楮	저	닥나무	0
杵	저, 처	공이, 공이	0
姐	저, 저	누이, 교만할	0
儲	저	쌓을	0
佇	저	우두커니 설	0
鏑	적	화살촉	0
迪	적	나아갈	0
荻	적	물억새	0
翟	적, 책	꿩, 고을 이름	0
吊	적, 조	이를, 조상할	0
勣	적	공적	0
鐫	전, 휴	새길, 솥	0
鈿	전	비녀	0
詮	전	설명할	0
筌	전	통발	0
畑	전	화전	0
琠	전	귀막이	0
塼	전, 단	벽돌, 뭉칠	0
佺	전	신선 이름	0
佃	전	밭 갈	0
癤	절	부스럼	0
浙	절, 석	강 이름, 일	0
鮎	점	메기	0
点	점, 다	점, 시들	0
岾	점, 재	땅 이름, 고개	0
摺	접, 절, 랍(납)	접을, 접을, 끌	0
玎	정, 쟁	옥 소리, 옥 소리	0
炡	정	빛날	0
瀞	정	깨끗할	0
湞	정	물 이름	0
渟	정	물 괼	0
淀	정, 전	앙금, 앙금	0
檉	정	위성류	0
柾	정, 구	사람 이름, 널	0
晸	정	해 뜨는 모양	0
姃	정	단정할	0
霆	정	천둥 소리	0
鋌	정	쇳덩이	0
鉦	정	징 소리	0
諪	정	조정할	0
綎	정	가죽 띠	0
薺	제	냉이	0
臍	제	배꼽	0
霽	제	비 갤	0
醍	제	맑은 술	0
雕	조, 조	독수리, 새길	0
蚤	조	벼룩	0
窕	조, 요	으늑할, 예쁠	0
璪	조	면류관 드림 옥	0
晁	조, 주	아침, 고을 이름	0
俎	조	도마	0
鏃	족, 촉, 착	화살촉, 화살촉, 호미	0
淙	종, 상	물소리, 물 댈	0
棕	종	종려나무	0
悰	종	즐길	0
倧	종	상고 신인	0
冑	주	투구	0
酎	주	전국술	0
蛛	주	거미	0
綢	주, 도	얽을, 쌀	0
籌	주	살	0
炷	주	심지	0
澍	주	단비	0
湊	주	모일	0
姝	주	예쁠	0
侏	주	난쟁이	0
粥	죽, 육	죽, 팔	0
雋	준, 전, 취	영특할, 살찐 고기, 땅 이름	0
逡	준	뒷걸음질칠	0
畯	준	농부	0
焌	준, 출	구울, 태울	0
寯	준	모일	0
儁	준	준걸	0
茁	줄, 촬, 절	싹, 싹틀, 싹	0
楫	즙, 집	노, 노	0
繒	증	비단	0
甑	증	시루	0
烝	증	김 오를	0
拯	증	건질	0
趾	지	발	0
贄	지, 얼	폐백, 움직이지 아니할	0
蜘	지	거미	0
芷	지	어수리	0
祗	지, 지, 기	다만, 공경할, 땅귀신	0
砥	지	숫돌	0
漬	지	담글	0
沚	지	물가	0
軫	진	수레 뒤턱 나무	0
賑	진	구휼할	0
袗	진	홑옷	0
蔯	진	더위지기	0
臻	진	이를	0
縝	진	고울	0
縉	진	붉은 비단	0
瞋	진	부릅뜰	0
畛	진	두둑	0
璡	진	옥돌	0
瑨	진	아름다운 돌	0
溱	진	많을	0
殄	진	다할	0
榛	진	개암나무	0
桭	진	평고대	0
晉	진, 진	나아갈, 진나라	0
搢	진, 장	꽂을, 흔들	0
唇	진, 순	놀랄, 입술	0
蛭	질	거머리	0
瓆	질	사람 이름	0
侄	질, 질	어리석을, 조카	0
鏶	집	판금	0
緝	집, 즙	모을, 이을	0
潗	집	샘솟을	0
箚	차	찌를	0
磋	차, 자	갈, 삭은 뼈	0
嵯	차, 치	우뚝 솟을, 울쑥불쑥할	0
侘	차	낙망할	0
齪	착	악착할	0
纘	찬	이을	0
粲	찬	정미	0
簒	찬	빼앗을	0
竄	찬	숨을	0
澯	찬	맑을	0
紮	찰	감을	0
釵	채, 차	비녀, 비녀	0
綵	채	비단	0
砦	채	진터	0
寀	채	녹봉	0
蹠	척	밟을	0
慽	척	근심할	0
剔	척, 체	뼈 바를, 깎을	0
倜	척, 주	기개 있을, 어긋나게 뻗을	0
韆	천	그네	0
阡	천	두렁	0
舛	천, 준	어그러질, 잡될	0
玔	천	옥고리	0
仟	천, 천	일천, 밭두둑	0
輟	철	그칠	0
詹	첨, 담, 섬	이를, 넉넉할, 두꺼비	0
簽	첨	제비	0
甛	첨	달	0
沾	첨, 점, 접	더할, 젖을, 경망할	0
輒	첩	문득	0
睫	첩, 섭	속눈썹, 깜작일	0
堞	첩	성가퀴	0
鯖	청, 정	청어, 잡회	0
菁	청, 정	우거질, 순무	0
剃	체	머리 깎을	0
醮	초	제사 지낼	0
酢	초, 작	신맛 나는 조미료, 잔 돌릴	0
苕	초, 소	완두, 풀 이름	0
艸	초	풀	0
椒	초	산초나무	0
剿	초	끊을	0
矗	촉	우거질	0
邨	촌	마을	0
蔥	총, 창	파, 짐수레	0
摠	총, 총	다, 합할	0
憁	총	분주할	0
悤	총, 총	바쁠, 총명할	0
騶	추	마부	0
雛	추	병아리	0
諏	추	물을	0
萩	추	사철쑥	0
皺	추	주름	0
湫	추, 초	다할, 낮을	0
蹙	축, 척	닥칠, 줄어들	0
筑	축, 축	악기 이름, 쌓을	0
竺	축, 독	나라 이름, 두터울	0
瑃	춘	옥 이름	0
朮	출	차조	0
鷲	취	독수리	0
驟	취	달릴	0
嘴	취	부리	0
厠	측	뒷간	0
仄	측	기울	0
輜	치	짐수레	0
蚩	치	어리석을	0
緇	치	검을	0
穉	치	어릴	0
痴	치	어리석을	0
淄	치	검은빛	0
梔	치	치자나무	0
飭	칙	신칙할	0
柒	칠, 칠, 철	옻, 일곱, 삼갈	0
琛	침	보배	0
馱	타, 태	실을, 실을	0
朶	타	늘어질	0
拖	타	끌	0
咤	타	꾸짖을	0
琸	탁, 착	사람 이름, 사람 이름	0
柝	탁, 석, 사	딱따기, 쪼갤, 처녑	0
晫	탁	밝을	0
坼	탁	터질	0
啄	탁, 주	쫄, 부리	0
倬	탁	클	0
嘆	탄, 우	탄식할, 또	0
榻	탑	걸상	0
帑	탕, 노	금고, 처자	0
邰	태	나라 이름	0
撑	탱	버틸	0
兎	토	토끼	0
偸	투	훔칠	0
闖	틈	엿볼	0
杷	파	비파나무	0
擺	파, 파, 패, 패	열, 옷의 아랫단, 열, 옷의 아랫단	0
鈑	판	금박	0
瓣	판	외씨	0
坂	판	언덕	0
捌	팔, 팔	깨뜨릴, 여덟	0
叭	팔, 팔	입 벌릴, 나팔	0
覇	패, 패	으뜸, 두목	0
狽	패, 패	이리, 낭패할	0
浿	패	강 이름	0
烹	팽	삶을	0
翩	편	나부낄	0
枰	평	바둑판	0
嬖	폐	사랑할	0
吠	폐	짖을	0
苞	포	쌀	0
匏	포	박	0
佈	포	펼	0
驃	표	황부루	0
飇	표	폭풍	0
瓢	표	바가지	0
彪	표	범	0
俵	표	나누어 줄	0
陂	피, 파	방죽, 비탈	0
馝	필	좋은 향내가 날	0
苾	필, 별	향기로울, 종족 이름	0
珌	필	칼집 장식	0
鰕	하	새우	0
昰	하, 시, 시	여름, 이, 옳을	0
廈	하	문간방	0
厦	하	문간방	0
閒	한, 간	한가할, 사이	0
瀚	한	넓고 큰 모양	0
啣	함	재갈 머금을	0
闔	합	문짝	0
閤	합	쪽문	0
哈	합	물고기 많은 모양	0
桁	항, 형	차꼬, 도리	0
杭	항	건널	0
嫦	항, 상	항아, 항아	0
姮	항	항아	0
伉	항	짝	0
蟹	해	게	0
瀣	해	이슬 기운	0
孩	해	어린아이	0
垓	해	지경	0
荇	행	노랑어리연꽃	0
倖	행	요행	0
餉	향	건량	0
珦	향, 상	옥 이름, 옥 이름	0
櫶	헌	나무 이름	0
奕	혁	클	0
舷	현	뱃전	0
睍	현	불거진 눈	0
玹	현	옥돌	0
泫	현, 견	이슬 빛날, 땅 이름	0
晛	현, 년(연)	햇살, 햇살	0
俔	현	염탐할	0
頁	혈, 엽	머리, 책 면	0
孑	혈	외로울	0
鋏	협	집게	0
莢	협	꼬투리	0
脇	협, 협	위협할, 겨드랑이	0
浹	협	두루 미칠	0
夾	협	낄	0
鎣	형, 영	줄, 줄	0
逈	형	멀	0
珩	형	노리개	0
熒	형	등불	0
灐	형	물 이름	0
滎	형	실개천	0
泂	형	멀	0
鞋	혜	신	0
蹊	혜, 계	좁은 길, 이상야릇할	0
蕙	혜	풀 이름	0
暳	혜	별 반짝일	0
顥	호	클	0
頀	호	구할	0
蝴	호	나비	0
蒿	호, 고	쑥, 짚	0
葫	호	마늘	0
芦	호, 하, 로(노)	지황, 지황, 갈대	0
縞	호	명주	0
瓠	호	박	0
灝	호	넓을	0
濩	호, 확	퍼질, 삶을	0
滸	호, 허	물가, 물가	0
淏	호	맑을	0
岵	호	산	0
壺	호	병	0
琿	혼	아름다운 옥	0
烘	홍	화톳불	0
汞	홍	수은	0
譁	화	시끄러울	0
攫	확, 국	움킬, 움킬	0
碻	확, 교	굳을, 고르지 않은 모양	0
紈	환	흰 비단	0
渙	환, 회	흩어질, 물 이름	0
晥	환	환할	0
奐	환	빛날	0
豁	활	뚫린 골	0
隍	황	해자	0
蝗	황	메뚜기	0
簧	황	혀	0
篁	황	대숲	0
璜	황	패옥	0
潢	황	웅덩이	0
湟	황	성지	0
榥	황	책상	0
晄	황	밝을	0
愰	황	마음 밝을	0
幌	황	휘장	0
茴	회	회향풀	0
獪	회, 쾌	교활할, 교활할	0
澮	회	봇도랑	0
匯	회	물 돌아 나갈	0
鐄	횡	종	0
宖	횡, 홍, 굉	집 울릴, 클, 클	0
驍	효	날랠	0
肴	효	안주	0
淆	효	뒤섞일	0
涍	효	성씨	0
梟	효, 교	올빼미, 목매달	0
斅	효	가르칠	0
珝	후, 허	옥 이름, 옥 이름	0
煦	후	따뜻하게 할	0
帿	후	제후	0
塤	훈	질나발	0
勛	훈	공	0
燻	훈	연기낄	0
焄	훈	김 쐴	0
薨	훙, 횡	훙서, 많을	0
萱	훤	원추리	0
煊	훤, 훼	마를, 불	0
暄	훤	온난할	0
煇	휘, 운	빛날, 햇무리	0
暉	휘	빛	0
虧	휴	이지러질	0
畦	휴	밭두둑	0
鷸	휼	도요새	0
譎	휼	속일	0
炘	흔, 흔	화끈거릴, 기뻐할	0
昕	흔	새벽	0
訖	흘, 글	이를, 이를	0
紇	흘	묶을	0
屹	흘	우뚝 솟을	0
吃	흘	말 더듬을	0
翕	흡	합할	0
熺	희, 희	빛날, 지을	0
曦	희	햇빛	0
晞	희	마를	0
戱	희, 호	희롱할, 탄식할	0
憘	희	기쁠	0
囍	희	쌍희	0
凞	희	빛날	0
僖	희	기쁠	0
